section,object_type,object_name,definition
1_tables,column,help_acceptances.agreed_rate,numeric DEFAULT 0 NOT NULL
1_tables,column,help_acceptances.brought_equipment,boolean DEFAULT false NOT NULL
1_tables,column,help_acceptances.created_at,timestamp with time zone DEFAULT now() NOT NULL
1_tables,column,help_acceptances.help_request_id,uuid NOT NULL
1_tables,column,help_acceptances.id,uuid DEFAULT uuid_generate_v4() NOT NULL
1_tables,column,help_acceptances.status,text DEFAULT 'pending'::text NOT NULL
1_tables,column,help_acceptances.worker_id,uuid NOT NULL
1_tables,column,help_requests.created_at,timestamp with time zone DEFAULT now() NOT NULL
1_tables,column,help_requests.created_post_confirmation,boolean DEFAULT false NOT NULL
1_tables,column,help_requests.equipment_required,boolean DEFAULT false NOT NULL
1_tables,column,help_requests.id,uuid DEFAULT uuid_generate_v4() NOT NULL
1_tables,column,help_requests.job_id,uuid NOT NULL
1_tables,column,help_requests.proposal_id,uuid NOT NULL
1_tables,column,help_requests.slots_needed,integer DEFAULT 1 NOT NULL
1_tables,column,help_requests.status,text DEFAULT 'open'::text NOT NULL
1_tables,column,job_proposals.created_at,timestamp with time zone DEFAULT now() NOT NULL
1_tables,column,job_proposals.estimated_hours,numeric
1_tables,column,job_proposals.estimated_hours_max,numeric
1_tables,column,job_proposals.estimated_hours_min,numeric
1_tables,column,job_proposals.helpers_equipment_required,boolean DEFAULT false NOT NULL
1_tables,column,job_proposals.hourly_rate,numeric NOT NULL
1_tables,column,job_proposals.id,uuid DEFAULT uuid_generate_v4() NOT NULL
1_tables,column,job_proposals.job_id,uuid NOT NULL
1_tables,column,job_proposals.notes,text
1_tables,column,job_proposals.people_needed,integer DEFAULT 1 NOT NULL
1_tables,column,job_proposals.scheduled_date,date
1_tables,column,job_proposals.scheduled_flexible,boolean DEFAULT false NOT NULL
1_tables,column,job_proposals.scheduled_time,time without time zone
1_tables,column,job_proposals.status,text DEFAULT 'pending'::text NOT NULL
1_tables,column,job_proposals.updated_at,timestamp with time zone DEFAULT now() NOT NULL
1_tables,column,job_proposals.worker_id,uuid NOT NULL
1_tables,column,job_reports.created_at,timestamp with time zone DEFAULT now() NOT NULL
1_tables,column,job_reports.description,text NOT NULL
1_tables,column,job_reports.id,uuid DEFAULT uuid_generate_v4() NOT NULL
1_tables,column,job_reports.job_id,uuid NOT NULL
1_tables,column,job_reports.reporter_id,uuid NOT NULL
1_tables,column,job_requests.accepted_proposal_id,uuid
1_tables,column,job_requests.address_text,text NOT NULL
1_tables,column,job_requests.availability_text,text
1_tables,column,job_requests.cancel_reason,text
1_tables,column,job_requests.cancel_reason_detail,text
1_tables,column,job_requests.cancelled_by,uuid
1_tables,column,job_requests.cancelled_worker_id,uuid
1_tables,column,job_requests.client_id,uuid NOT NULL
1_tables,column,job_requests.confirmed_date,date
1_tables,column,job_requests.confirmed_flexible,boolean
1_tables,column,job_requests.confirmed_time,time without time zone
1_tables,column,job_requests.created_at,timestamp with time zone DEFAULT now() NOT NULL
1_tables,column,job_requests.date_mode,text DEFAULT 'flexible'::text NOT NULL
1_tables,column,job_requests.description,text NOT NULL
1_tables,column,job_requests.excluded_worker_ids,ARRAY DEFAULT '{}'::uuid[] NOT NULL
1_tables,column,job_requests.expires_at,timestamp with time zone DEFAULT (now() + '48:00:00'::interval) NOT NULL
1_tables,column,job_requests.id,uuid DEFAULT uuid_generate_v4() NOT NULL
1_tables,column,job_requests.location_lat,numeric NOT NULL
1_tables,column,job_requests.location_lng,numeric NOT NULL
1_tables,column,job_requests.preferred_date,date
1_tables,column,job_requests.proposal_count,integer DEFAULT 0 NOT NULL
1_tables,column,job_requests.reopen_count_client,integer DEFAULT 0 NOT NULL
1_tables,column,job_requests.reopen_count_worker,integer DEFAULT 0 NOT NULL
1_tables,column,job_requests.reopened_from,uuid
1_tables,column,job_requests.reschedule_proposed_by,uuid
1_tables,column,job_requests.reschedule_proposed_date,date
1_tables,column,job_requests.reschedule_proposed_flexible,boolean
1_tables,column,job_requests.reschedule_proposed_time,time without time zone
1_tables,column,job_requests.reschedule_status,text
1_tables,column,job_requests.service_type_id,uuid NOT NULL
1_tables,column,job_requests.size_estimate,text
1_tables,column,job_requests.status,text DEFAULT 'open'::text NOT NULL
1_tables,column,job_requests.updated_at,timestamp with time zone DEFAULT now() NOT NULL
1_tables,column,job_requests.urgency,text
1_tables,column,notifications.body,text NOT NULL
1_tables,column,notifications.created_at,timestamp with time zone DEFAULT now() NOT NULL
1_tables,column,notifications.id,uuid DEFAULT uuid_generate_v4() NOT NULL
1_tables,column,notifications.read,boolean DEFAULT false NOT NULL
1_tables,column,notifications.related_id,uuid
1_tables,column,notifications.related_type,text
1_tables,column,notifications.title,text NOT NULL
1_tables,column,notifications.type,text NOT NULL
1_tables,column,notifications.user_id,uuid NOT NULL
1_tables,column,profiles.avatar_url,text
1_tables,column,profiles.created_at,timestamp with time zone DEFAULT now() NOT NULL
1_tables,column,profiles.full_name,text NOT NULL
